Label,Message
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,ok lar joking wif u oni
spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
ham,u dun say early hor u c already say
ham,nah dont think go usf life around though
spam,freemsg hey darling 3 week word back id like fun still tb ok xxx std chgs send £150 rcv
ham,even brother like speak treat like aid patent
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
spam,winner valued network customer selected receivea £900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
spam,mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030
ham,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
spam,six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
spam,urgent 1 week free membership £100000 prize jackpot txt word claim 81010 tc url lccltd pobox 4403ldnw1a7rw18
ham,ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
ham,date sunday
spam,xxxmobilemovieclub use credit click wap link next txt message click url xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watching
ham,eh u remember 2 spell name yes v naughty make v wet
ham,fine thats way u feel thats way gota b
spam,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txtú120 poboxox36504w45wq 16
ham,seriously spell name
ham,‘ going try 2 month ha ha joking
ham,ü pay first lar da stock comin
ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
ham,ffffffffff alright way meet sooner
ham,forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza lol
ham,lol always convincing
ham,catch bus frying egg make tea eating mom left dinner feel love
ham,im back amp packing car ill let know there room
ham,ahhh work vaguely remember feel like lol
ham,wait thats still clear sure sarcastic thats x doesnt want live u
ham,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wont go badly cheer
ham,k tell anything
ham,fear fainting housework quick cuppa
spam,thanks subscription ringtone uk mobile charged £5month please confirm replying yes reply charged
ham,yup ok go home look timing msg ü xuhui going learn 2nd may lesson 8am
ham,oops ill let know roommate done
ham,see letter b car
ham,anything lor u decide
ham,hello hows saturday go texting see youd decided anything tomo im trying invite anything
ham,pls go ahead watt wanted sure great weekend abiola
ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow
ham,seeing
ham,great hope like man well endowed ltgt inch
ham,callsmessagesmissed call
ham,didnt get hep b immunisation nigeria
ham,fair enough anything going
ham,yeah hopefully tyler cant could maybe ask around bit
ham,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospital weak sucker
ham,thinked first time saw class
ham,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,k fyi x ride early tomorrow morning he crashing place tonight
ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
ham,know mallika sherawat yesterday find lturlgt
spam,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
ham,sorry ill call later meeting
ham,tell reached
ham,yesgauti sehwag odi series
ham,gon na pick 1 burger way home cant even move pain killing
ham,ha ha ha good joke girl situation seeker
ham,part checking iq
ham,sorry roommate took forever ok come
ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,valued customer pleased advise following recent review mob awarded £1500 bonus prize call 09066364589
ham,today song dedicated day song u dedicate send ur valuable frnds first rply
spam,urgent ur awarded complimentary trip eurodisinc trav acoentry41 £1000 claim txt dis 87121 186£150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,hear new divorce barbie come ken stuff
ham,plane give month end
ham,wah lucky man save money hee
ham,finished class
ham,hi babe im home wan na something xx
ham,kkwhere youhow performed
ham,u call
ham,waiting machan call free
ham,thats cool gentleman treat dignity respect
ham,like people much shy pa
ham,operate ltgt
ham,still looking job much ta earn
ham,sorry ill call later
ham,k call ah
ham,ok way home hi hi
ham,place man
ham,yup next stop
ham,call later dont network urgnt sm
ham,real u getting yo need 2 ticket one jacket im done already used multis
ham,yes started send request make pain came back im back bed double coin factory got ta cash nitros
ham,im really still tonight babe
ham,ela kanoil download come wen ur free
ham,yeah ‘ stand close tho ‘ catch something
ham,sorry pain ok meet another night spent late afternoon casualty mean havent done stuff42moro includes time sheet sorry
ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smiling
spam,please call customer service representative 0800 169 6031 10am9pm guaranteed £1000 cash £5000 prize
ham,havent planning buy later check already lido got 530 show e afternoon u finish work already
spam,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml po box 5249 mk17 92h 450ppw 16
ham,watching telugu moviewat abt u
ham,see finish load loan pay
ham,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
ham,see cup coffee animation
ham,please dont text anymore nothing else say
ham,okay name ur price long legal wen pick u ave x am xx
ham,im still looking car buy gone 4the driving test yet
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
ham,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
ham,umma life vava umma love lot dear
ham,thanks lot wish birthday thanks making birthday truly memorable
ham,aight ill hit get cash
ham,would ip address test considering computer isnt minecraft server
ham,know grumpy old people mom like better lying always one play joke
ham,dont worry guess he busy
ham,plural noun research
ham,going dinnermsg
