Label,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
ham,-0.8181906,0.012994766,-0.89715725,-0.21331917,1.7767487,-1.2877911,0.07950181,-0.4772587,0.5221937,0.46399802,-0.013475217,-1.038873,-0.76754653,-0.38632128,-0.46215147,-0.4325211,0.25920105,0.36138907,-0.48700175,-0.3694125,0.23879531,-0.25788367,-0.10744324,1.022352,0.42757764,0.1989615,-0.39414787,0.24807829,-1.0403138,-0.12889254,0.29272723,-0.0069273263,-0.51210093,-0.865687,0.26699004,0.45993638,-0.5847004,0.05592636,-0.05396683,-0.3494797,0.7222472,0.36178327,0.48941225,0.47393787,0.0572353,-0.3376658,-1.0005271,-0.546504,-0.3824193,-0.13383222
ham,-2.5661206,2.3960254,0.16032434,-0.36257577,0.8504587,0.6528145,-0.45506263,-0.20926198,0.41481614,0.7453688,0.4787709,-0.3862945,-0.87776816,0.10431675,0.06986226,-1.3049378,-0.17499849,0.7124044,-0.10041237,0.3443199,0.10447807,-0.7530609,-0.4310596,-0.3725626,-0.89659894,0.42877612,0.07127177,0.13905215,-0.34215146,0.2569061,-0.11000458,-1.3437836,0.8021466,-0.11610827,-0.104284406,0.17322475,-0.22700742,-0.13649684,1.0031477,0.021995611,-0.4271415,0.20799294,-0.7230956,0.0706809,-0.060964167,0.124280214,0.2229619,-0.07968108,-0.65379566,0.03230711
spam,2.4319701,0.44453055,0.27156544,0.23018225,0.8992756,-0.08579002,-0.44124484,0.27829662,-0.04518804,-0.49744037,0.5562926,-0.17858829,0.39937237,-0.36381263,-0.26149333,0.4422176,0.28056073,-0.42816505,-0.32922164,-0.4816663,-0.16879368,-0.8532886,-0.5725869,-0.6539158,0.3052067,0.11569767,-0.12123224,-0.17872265,-0.07591511,0.15621418,-0.111163504,-0.5009628,0.65153307,-0.16987267,-0.30977207,0.4183755,-0.11768663,-0.25367606,0.32428122,-0.4497885,-0.01239188,0.34778142,-0.33479035,0.28203171,0.3592845,-0.1269481,0.2685299,-0.3202632,-0.45632166,-0.26053035
ham,-2.3288493,0.60609776,1.083178,0.78905696,1.4559891,0.93411064,0.47168925,0.06698124,-0.22809961,-1.3975921,-0.19623238,-0.17537208,-0.9538952,0.517399,-0.10903381,0.8826913,0.9237648,0.019450307,0.26658583,0.15305759,-0.4765876,1.045029,0.27271578,-0.03303933,-0.32543668,-0.27429873,0.32625192,-0.0968847,1.0146601,0.1879426,-0.77040946,-0.10030672,-0.13430174,1.2353166,0.68488985,-0.63421047,-0.29476303,-0.010816328,-0.50747824,0.5859932,-0.20894843,0.10727083,-0.49405783,-0.10823217,0.42870894,0.5619204,0.93648267,0.30054536,0.4356568,0.030020945
ham,-1.5336275,0.7971806,-0.1897828,0.6976268,-0.27090603,-0.22573331,1.3501428,-1.0771458,-0.600894,-0.33855978,-0.7723254,0.65657365,-0.1886468,-0.22975165,-0.2071525,-1.1333464,0.3909202,-0.7802043,0.50180715,-0.8988159,0.70208967,0.19698054,1.0492435,-0.036668062,-0.39739776,-0.46145397,0.3488961,-0.23970418,0.05970268,0.32170567,-0.07581677,-0.1330218,0.2569465,-0.66412807,-0.26002097,0.57698387,0.15020114,-0.26528293,0.6481534,-0.4285497,0.031500235,-0.38780454,0.15619199,0.5088827,-0.36109546,0.34433892,-0.009437226,-0.17623627,-0.10239333,-0.12117199
spam,0.80448806,0.8313016,0.41237116,-0.2909248,0.18216068,-0.53490376,-0.8815292,0.77853155,0.35313308,-0.46430722,0.32315332,0.7445335,0.83179927,-0.092212476,-0.66010815,-0.03698647,0.2979517,0.72778845,0.44279626,-0.6889852,-0.91603345,-0.5795733,-0.57835466,-0.045305043,0.24308565,0.15384775,-0.1934542,0.5374323,0.36826184,0.025800467,-0.39837807,-0.11314744,0.33001888,0.6814141,0.20821148,-0.21903196,0.44583327,0.10272262,-0.28416038,-0.6334916,0.19205229,-0.46638152,-0.018153623,-0.32776958,0.059817433,-0.20837414,0.5746155,-0.17098638,-0.048517346,0.33773062
ham,0.5364417,-0.079547465,-2.582952,-0.96985924,-1.0852818,1.1332798,0.07612273,0.15807092,-1.0373275,0.6188444,-1.4532858,-0.39658186,-0.9351362,-1.0628862,-1.2323939,-0.20426163,0.08904374,0.17866865,-0.6672994,0.7679646,-1.3502591,0.85202855,-0.19143453,0.12666881,0.15664867,-0.36026198,0.9669155,0.031342685,0.39855704,0.76667356,0.8489633,0.27858907,-0.3306503,0.23656917,-0.4889752,0.54990554,0.24697955,0.29683146,-0.12159294,-0.2710118,0.117170855,-0.23720625,-0.6604396,0.27635434,0.21905267,0.41090164,-0.08915023,0.62965083,0.0350973,0.7606774
ham,2.0799887,0.48262948,0.08312833,-0.068263516,-0.2666747,0.9437084,0.024661899,0.2666248,1.2666829,-0.11101863,-0.25871903,-0.5252968,-1.0221947,-0.031678043,-0.25888568,-0.018676758,0.9692627,0.069820344,-0.21848288,-0.34481764,0.34976965,-0.027511057,-0.43187,0.08451232,-0.09841287,0.4044239,-0.51915795,0.7784948,0.6130539,0.28353664,-0.029412813,0.18437208,-0.5667414,-0.106101304,-0.22887115,0.030735314,0.21327268,0.54099154,-0.212675,-0.431975,0.088867545,-0.55988634,-0.54057837,-0.2203055,-0.10184416,-0.2146174,-0.25388604,0.21872479,0.28846437,0.3875631
spam,3.3169134,-0.8595543,-0.21018243,-1.033596,1.3970008,-0.74749666,-0.33033222,0.12076382,-1.4189321,-1.6153561,0.6113956,-0.15928149,-0.19191003,-0.78771174,0.48658502,-0.80709827,-0.51577985,0.24985877,0.42694208,-0.70573854,0.53590846,0.41612226,-0.093589306,-0.7704513,0.6735883,0.30551946,0.11277832,-0.1761629,-0.23323855,0.23321018,0.5361216,-0.42282462,0.060025148,-0.017002374,-0.09772849,-0.14747585,-0.46987712,-0.29599938,0.9129847,0.59060496,-0.09932834,0.75252986,0.05947195,-0.15774608,0.049842343,0.24249211,0.6993098,0.36905965,0.2839855,-0.53038734
spam,2.2704558,0.2091077,0.6742642,-0.1778792,0.058487713,-0.2679362,-0.6068634,-1.0567639,1.558773,-0.55047894,-0.094229735,0.1403713,0.50901127,1.4302545,0.06818402,-0.9732227,0.6645286,-1.3820883,-1.0644461,1.1663325,0.6589392,0.5972288,-0.8006676,0.37742215,-0.57110053,0.19889285,0.40971008,-0.26354498,0.33872834,-0.21950266,0.3761912,0.79289013,-0.04089763,-0.5912007,0.80232525,-0.4096172,0.52039206,-0.62186885,-0.36322314,-0.018840108,-0.8831425,0.067976855,-0.28944916,-0.2852882,0.4491099,-0.13866076,0.89596164,-0.11691049,0.47637433,0.4177499
